0,(['C4', 'Pa', 'Cz', 'C3', 'Fp1']),0.6242774724960327
1,(['C4', 'Pa', 'Cz', 'C3', 'Fp2']),0.7456647157669067
2,(['C4', 'Pa', 'Cz', 'C3', 'F7']),0.5838150382041931
3,(['C4', 'Pa', 'Cz', 'C3', 'F8']),0.7398843765258789
4,(['C4', 'Pa', 'Cz', 'C3', 'Fz']),0.5549132823944092
5,(['C4', 'Pa', 'Cz', 'C3', 'F3']),0.4797687828540802
6,(['C4', 'Pa', 'Cz', 'C3', 'F4']),0.6705202460289001
7,(['C4', 'Pa', 'Cz', 'C3', 'T5']),0.5491329431533813
8,(['C4', 'Pa', 'Cz', 'P3', 'Fp1']),0.6416184902191162
9,(['C4', 'Pa', 'Cz', 'P3', 'Fp2']),0.52601158618927
10,(['C4', 'Pa', 'Cz', 'P3', 'F7']),0.5722543597221375
11,(['C4', 'Pa', 'Cz', 'P3', 'F8']),0.6878612637519836
12,(['C4', 'Pa', 'Cz', 'P3', 'Fz']),0.6127167344093323
13,(['C4', 'Pa', 'Cz', 'P3', 'F3']),0.7052023410797119
14,(['C4', 'Pa', 'Cz', 'P3', 'F4']),0.7225433588027954
15,(['C4', 'Pa', 'Cz', 'P3', 'T5']),0.4450867176055908
16,(['C4', 'Pa', 'Cz', 'T3', 'Fp1']),0.49132949113845825
17,(['C4', 'Pa', 'Cz', 'T3', 'Fp2']),0.763005793094635
18,(['C4', 'Pa', 'Cz', 'T3', 'F7']),0.6531791687011719
19,(['C4', 'Pa', 'Cz', 'T3', 'F8']),0.8728323578834534
20,(['C4', 'Pa', 'Cz', 'T3', 'Fz']),0.6127167344093323
21,(['C4', 'Pa', 'Cz', 'T3', 'F3']),0.5953757166862488
22,(['C4', 'Pa', 'Cz', 'T3', 'F4']),0.7283236980438232
23,(['C4', 'Pa', 'Cz', 'T3', 'T5']),0.589595377445221
24,(['C4', 'Pa', 'Cz', 'T4', 'Fp1']),0.5317919254302979
25,(['C4', 'Pa', 'Cz', 'T4', 'Fp2']),0.48554912209510803
26,(['C4', 'Pa', 'Cz', 'T4', 'F7']),0.6069363951683044
27,(['C4', 'Pa', 'Cz', 'T4', 'F8']),0.6416184902191162
28,(['C4', 'Pa', 'Cz', 'T4', 'Fz']),0.6242774724960327
29,(['C4', 'Pa', 'Cz', 'T4', 'F3']),0.5433526039123535
30,(['C4', 'Pa', 'Cz', 'T4', 'F4']),0.5202311873435974
31,(['C4', 'Pa', 'Cz', 'T4', 'T5']),0.7572254538536072
32,(['C4', 'Pa', 'Cz', 'Pz', 'Fp1']),0.6242774724960327
33,(['C4', 'Pa', 'Cz', 'Pz', 'Fp2']),0.763005793094635
34,(['C4', 'Pa', 'Cz', 'Pz', 'F7']),0.8034682273864746
35,(['C4', 'Pa', 'Cz', 'Pz', 'F8']),0.676300585269928
36,(['C4', 'Pa', 'Cz', 'Pz', 'Fz']),0.6705202460289001
37,(['C4', 'Pa', 'Cz', 'Pz', 'F3']),0.6358381509780884
38,(['C4', 'Pa', 'Cz', 'Pz', 'F4']),0.6127167344093323
39,(['C4', 'Pa', 'Cz', 'Pz', 'T5']),0.6820809245109558
40,(['C4', 'Pa', 'Cz', 'T6', 'Fp1']),0.6994219422340393
41,(['C4', 'Pa', 'Cz', 'T6', 'Fp2']),0.6300578117370605
42,(['C4', 'Pa', 'Cz', 'T6', 'F7']),0.3988439440727234
43,(['C4', 'Pa', 'Cz', 'T6', 'F8']),0.6589595079421997
44,(['C4', 'Pa', 'Cz', 'T6', 'Fz']),0.6242774724960327
45,(['C4', 'Pa', 'Cz', 'T6', 'F3']),0.7514451146125793
46,(['C4', 'Pa', 'Cz', 'T6', 'F4']),0.7514451146125793
47,(['C4', 'Pa', 'Cz', 'T6', 'T5']),0.3988439440727234
48,(['C4', 'Pa', 'Cz', 'O2', 'Fp1']),0.8265895843505859
49,(['C4', 'Pa', 'Cz', 'O2', 'Fp2']),0.7456647157669067
50,(['C4', 'Pa', 'Cz', 'O2', 'F7']),0.5722543597221375
51,(['C4', 'Pa', 'Cz', 'O2', 'F8']),0.7803468108177185
52,(['C4', 'Pa', 'Cz', 'O2', 'Fz']),0.6994219422340393
53,(['C4', 'Pa', 'Cz', 'O2', 'F3']),0.676300585269928
54,(['C4', 'Pa', 'Cz', 'O2', 'F4']),0.7861271500587463
55,(['C4', 'Pa', 'Cz', 'O2', 'T5']),0.6300578117370605
56,(['C4', 'Pa', 'Cz', 'O1', 'Fp1']),0.6300578117370605
57,(['C4', 'Pa', 'Cz', 'O1', 'Fp2']),0.6820809245109558
58,(['C4', 'Pa', 'Cz', 'O1', 'F7']),0.5664739608764648
59,(['C4', 'Pa', 'Cz', 'O1', 'F8']),0.6820809245109558
60,(['C4', 'Pa', 'Cz', 'O1', 'Fz']),0.6011560559272766
61,(['C4', 'Pa', 'Cz', 'O1', 'F3']),0.6184971332550049
62,(['C4', 'Pa', 'Cz', 'O1', 'F4']),0.6358381509780884
63,(['C4', 'Pa', 'Cz', 'O1', 'T5']),0.48554912209510803
64,(['C4', 'Pa', 'C3', 'P3', 'Fp1']),0.49132949113845825
65,(['C4', 'Pa', 'C3', 'P3', 'Fp2']),0.48554912209510803
66,(['C4', 'Pa', 'C3', 'P3', 'F7']),0.52601158618927
67,(['C4', 'Pa', 'C3', 'P3', 'F8']),0.5086705088615417
68,(['C4', 'Pa', 'C3', 'P3', 'Fz']),0.5780346989631653
69,(['C4', 'Pa', 'C3', 'P3', 'F3']),0.5953757166862488
70,(['C4', 'Pa', 'C3', 'P3', 'F4']),0.7745664715766907
71,(['C4', 'Pa', 'C3', 'P3', 'T5']),0.5953757166862488
72,(['C4', 'Pa', 'C3', 'T3', 'Fp1']),0.589595377445221
73,(['C4', 'Pa', 'C3', 'T3', 'Fp2']),0.6127167344093323
74,(['C4', 'Pa', 'C3', 'T3', 'F7']),0.589595377445221
75,(['C4', 'Pa', 'C3', 'T3', 'F8']),0.560693621635437
76,(['C4', 'Pa', 'C3', 'T3', 'Fz']),0.6589595079421997
77,(['C4', 'Pa', 'C3', 'T3', 'F3']),0.4393063485622406
78,(['C4', 'Pa', 'C3', 'T3', 'F4']),0.7283236980438232
79,(['C4', 'Pa', 'C3', 'T3', 'T5']),0.5838150382041931
80,(['C4', 'Pa', 'C3', 'T4', 'Fp1']),0.6994219422340393
81,(['C4', 'Pa', 'C3', 'T4', 'Fp2']),0.676300585269928
82,(['C4', 'Pa', 'C3', 'T4', 'F7']),0.5491329431533813
83,(['C4', 'Pa', 'C3', 'T4', 'F8']),0.7109826803207397
84,(['C4', 'Pa', 'C3', 'T4', 'Fz']),0.5838150382041931
85,(['C4', 'Pa', 'C3', 'T4', 'F3']),0.6531791687011719
86,(['C4', 'Pa', 'C3', 'T4', 'F4']),0.6242774724960327
87,(['C4', 'Pa', 'C3', 'T4', 'T5']),0.6820809245109558
88,(['C4', 'Pa', 'C3', 'Pz', 'Fp1']),0.5664739608764648
89,(['C4', 'Pa', 'C3', 'Pz', 'Fp2']),0.5953757166862488
90,(['C4', 'Pa', 'C3', 'Pz', 'F7']),0.5722543597221375
91,(['C4', 'Pa', 'C3', 'Pz', 'F8']),0.52601158618927
92,(['C4', 'Pa', 'C3', 'Pz', 'Fz']),0.46820810437202454
93,(['C4', 'Pa', 'C3', 'Pz', 'F3']),0.6531791687011719
94,(['C4', 'Pa', 'C3', 'Pz', 'F4']),0.6531791687011719
95,(['C4', 'Pa', 'C3', 'Pz', 'T5']),0.4797687828540802
96,(['C4', 'Pa', 'C3', 'T6', 'Fp1']),0.3988439440727234
97,(['C4', 'Pa', 'C3', 'T6', 'Fp2']),0.7283236980438232
98,(['C4', 'Pa', 'C3', 'T6', 'F7']),0.5491329431533813
99,(['C4', 'Pa', 'C3', 'T6', 'F8']),0.6300578117370605
100,(['C4', 'Pa', 'C3', 'T6', 'Fz']),0.6589595079421997
101,(['C4', 'Pa', 'C3', 'T6', 'F3']),0.6705202460289001
102,(['C4', 'Pa', 'C3', 'T6', 'F4']),0.7052023410797119
103,(['C4', 'Pa', 'C3', 'T6', 'T5']),0.676300585269928
104,(['C4', 'Pa', 'C3', 'O2', 'Fp1']),0.7514451146125793
105,(['C4', 'Pa', 'C3', 'O2', 'Fp2']),0.6300578117370605
106,(['C4', 'Pa', 'C3', 'O2', 'F7']),0.5433526039123535
107,(['C4', 'Pa', 'C3', 'O2', 'F8']),0.5028901696205139
108,(['C4', 'Pa', 'C3', 'O2', 'Fz']),0.6358381509780884
109,(['C4', 'Pa', 'C3', 'O2', 'F3']),0.47398844361305237
110,(['C4', 'Pa', 'C3', 'O2', 'F4']),0.8265895843505859
111,(['C4', 'Pa', 'C3', 'O2', 'T5']),0.5953757166862488
112,(['C4', 'Pa', 'C3', 'O1', 'Fp1']),0.4971098303794861
113,(['C4', 'Pa', 'C3', 'O1', 'Fp2']),0.6069363951683044
114,(['C4', 'Pa', 'C3', 'O1', 'F7']),0.5549132823944092
115,(['C4', 'Pa', 'C3', 'O1', 'F8']),0.6127167344093323
116,(['C4', 'Pa', 'C3', 'O1', 'Fz']),0.5491329431533813
117,(['C4', 'Pa', 'C3', 'O1', 'F3']),0.6589595079421997
118,(['C4', 'Pa', 'C3', 'O1', 'F4']),0.6300578117370605
119,(['C4', 'Pa', 'C3', 'O1', 'T5']),0.5086705088615417
